Type,Item,Calories
Breakfast,Avacado Toast,990
Lunch,Turkey Sandwich,548
Dinner,Chicken and avacado,1100
Breakfast,Fruit Parfait,548
Lunch,Chicken Salad,848
Dinner,Spaghetti,2130
Breakfast,Banana and Peanut butter smoothie,500
Lunch,Cheese and Yogurt,365
Dinner,Salmon and Spinach,1048
Breakfast,Biscuits and eggs,1069
Lunch,Carrots and Humus,842
Dinner,Baked tilapia and salad,1099
Breakfast,spinach quiche,1100
Lunch,chicken sandwich,1500
Dinner,taco bowl with rice,1698
Breakfast,oatmeal with fruit,850
Lunch,fresh fruit,397
dinner,Black bean and rice bowl,1200
Breakfast,fresh fruit and yogurt,800
Lunch,Turkey Salad,752
Dinner,Chicken and Rice,1200
